"","id_no","binomial","presence","origin","shape_Area","TaxonID","Order","Family","Genus","Species","Animal","Vertebrate","Mammal","Bird","Herptile","Fish","Invertebrate","Plant","Seed","Fruit","Nectar","Root","Leaf","Woody","Herbaceous","Other","TaxonomicNote","FillCode","TrophicLevel","MammalEater","Insectivore","Frugivore","Granivore","Folivore","DataSource","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"39",272,"Acomys percivali",1,1,18.14495631,3340,"RODENTIA","MURIDAE","Acomys","percivali",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",273,"Acomys russatus",1,1,3.52590707,3341,"RODENTIA","MURIDAE","Acomys","russatus",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",44939,"Acomys seurati",1,1,26.59222149,3342,"RODENTIA","MURIDAE","Acomys","seurati",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Not Recorded",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",274,"Acomys spinosissimus",1,1,131.1677944,3343,"RODENTIA","MURIDAE","Acomys","spinosissimus",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",275,"Acomys subspinosus",1,1,6.961384025,3344,"RODENTIA","MURIDAE","Acomys","subspinosus",2,2,2,0,0,0,0,1,1,0,0,0,1,0,1,0,"",1,"Omnivore",0,0,0,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",276,"Acomys wilsoni",1,1,111.7444529,3345,"RODENTIA","MURIDAE","Acomys","wilsoni",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"",0,"Carnivore",0,1,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",278,"Aconaemys fuscus",1,1,5.197273384,4453,"RODENTIA","OCTODONTIDAE","Aconaemys","fuscus",0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"",1,"Herbivore",0,0,1,0,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",136331,"Aconaemys porteri",1,1,3.162604924,4454,"RODENTIA","OCTODONTIDAE","Aconaemys","porteri",0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"",1,"Herbivore",0,0,1,0,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",279,"Aconaemys sagei",1,1,1.071888794,4455,"RODENTIA","OCTODONTIDAE","Aconaemys","sagei",0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"",1,"Herbivore",0,0,1,0,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",40584,"Acrobates pygmaeus",1,1,0.024889349,16,"DIPROTODONTIA","ACROBATIDAE","Acrobates","pygmaeus",1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,2,"",0,"Omnivore",0,1,0,0,0,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",512,"Addax nasomaculatus",1,2,0.070058505,127,"CETARTIODACTYLA","BOVIDAE","Addax","nasomaculatus",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",0,"Herbivore",0,0,0,0,0,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",15595,"Aegialomys galapagoensis",1,1,0.001873185,852,"RODENTIA","CRICETIDAE","Aegialomys","galapagoensis",1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,"Apparently part of the Oryzomys genus, according to the book",1,"Omnivore",0,1,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",15616,"Aegialomys xanthaeolus",1,1,21.26762151,853,"RODENTIA","CRICETIDAE","Aegialomys","xanthaeolus",1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,"Apparently part of the Oryzomys genus, according to the book",1,"Omnivore",0,1,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",548,"Aepeomys lugens",1,1,0.77963293,855,"RODENTIA","CRICETIDAE","Aepeomys","lugens",1,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,"",3,"Omnivore",0,1,0,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",136484,"Aepeomys reigi",1,1,0.45514853,856,"RODENTIA","CRICETIDAE","Aepeomys","reigi",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"",0,"Omnivore",0,0,0,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",550,"Aepyceros melampus",1,3,0.208865645,129,"CETARTIODACTYLA","BOVIDAE","Aepyceros","melampus",0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,"",0,"Herbivore",0,0,0,0,1,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",40558,"Aepyprymnus rufescens",1,1,50.44559232,4933,"DIPROTODONTIA","POTOROIDAE","Aepyprymnus","rufescens",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,"",0,"Herbivore",0,0,0,0,1,"Nowak",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",555,"Aeretes melanopterus",1,1,5.313336722,5337,"RODENTIA","SCIURIDAE","Aeretes","melanopterus",3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"",3,"Herbivore",0,0,0,1,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",556,"Aeromys tephromelas",1,1,0.02358854,5339,"RODENTIA","SCIURIDAE","Aeromys","tephromelas",2,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,"",1,"Omnivore",0,0,1,1,1,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",557,"Aeromys thomasi",1,1,36.29518953,5340,"RODENTIA","SCIURIDAE","Aeromys","thomasi",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"",0,"Herbivore",0,0,1,0,0,"IUCN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",136541,"Aethalops aequalis",1,1,2.839941727,5017,"CHIROPTERA","PTEROPODIDAE","Aethalops","aequalis",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,"",1,"Herbivore",0,0,1,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",565,"Aethalops alecto",1,1,9.727776304,5018,"CHIROPTERA","PTEROPODIDAE","Aethalops","alecto",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,"",1,"Herbivore",0,0,1,0,0,"Extrapolated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
