TaxonID,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TaxonomicNote,FillCode,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,DataSource
131,CETARTIODACTYLA,BOVIDAE,Alcelaphus,buselaphus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,Nowak
133,CETARTIODACTYLA,BOVIDAE,Ammodorcas,clarkei,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,0,Herbivore,0,0,0,0,1,Nowak
135,CETARTIODACTYLA,BOVIDAE,Ammotragus,lervia,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,Nowak
137,CETARTIODACTYLA,BOVIDAE,Antidorcas,marsupialis,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,Nowak
139,CETARTIODACTYLA,BOVIDAE,Antilope,cervicapra,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,Nowak
141,CETARTIODACTYLA,BOVIDAE,Arabitragus,jayakari,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Recorded under Hemitragus,0,Herbivore,0,0,1,1,0,Nowak
143,CETARTIODACTYLA,BOVIDAE,Beatragus,hunteri,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Recorded as Damaliscus,1,Herbivore,0,0,0,0,1,Extrapolated
145,CETARTIODACTYLA,BOVIDAE,Bison,bison,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,Nowak
146,CETARTIODACTYLA,BOVIDAE,Bison,bonasus,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,0,Herbivore,0,0,0,0,1,Nowak
148,CETARTIODACTYLA,BOVIDAE,Bos,gaurus,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,,0,Herbivore,0,0,0,0,1,Nowak
149,CETARTIODACTYLA,BOVIDAE,Bos,javanicus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,Nowak
150,CETARTIODACTYLA,BOVIDAE,Bos,mutus,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Not Recorded,0,Herbivore,0,0,0,0,1,IUCN
151,CETARTIODACTYLA,BOVIDAE,Bos,primigenius,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,1,0,Not Recorded,2.2,Herbivore,0,0,0,0,1,Extrapolated
152,CETARTIODACTYLA,BOVIDAE,Bos,sauveli,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,Nowak
154,CETARTIODACTYLA,BOVIDAE,Boselaphus,tragocamelus,0,0,0,0,0,0,0,1,0,2,0,0,1,2,1,0,,0,Herbivore,0,0,0,0,1,Nowak
156,CETARTIODACTYLA,BOVIDAE,Bubalus,arnee,0,0,0,0,0,0,0,1,0,2,0,0,1,2,1,2,Not Recorded,0,Herbivore,0,0,0,0,1,IUCN
157,CETARTIODACTYLA,BOVIDAE,Bubalus,depressicornis,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,,0,Herbivore,0,0,1,0,1,Nowak
158,CETARTIODACTYLA,BOVIDAE,Bubalus,mindorensis,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,0,Herbivore,0,0,0,0,1,IUCN
159,CETARTIODACTYLA,BOVIDAE,Bubalus,quarlesi,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,IUCN
161,CETARTIODACTYLA,BOVIDAE,Budorcas,taxicolor,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,0,Herbivore,0,0,0,0,1,Nowak
163,CETARTIODACTYLA,BOVIDAE,Capra,aegagrus,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,,0,Herbivore,0,0,0,0,1,Nowak
