eco_code,area_km2
PA1319,26286
PA1320,210908
PA1321,1673776
PA1322,92609
PA1323,72518
PA1324,192147
PA1325,649658
PA1326,276999
PA1327,4629416
PA1328,350889
PA1329,1098254
PA1330,742657
PA1331,82009
PA1332,257450
PA1333,59196
