"","id_no","binomial","presence","origin","shape_Area","class","order","family","genus","species","subspecies","common_name","female_maturity_d","litter_or_clutch_size_n","litters_or_clutches_per_y","adult_body_mass_g","maximum_longevity_y","gestation_d","weaning_d","birth_or_hatching_weight_g","weaning_weight_g","egg_mass_g","incubation_d","fledging_age_d","longevity_y","male_maturity_d","inter_litter_or_interbirth_interval_y","female_body_mass_g","male_body_mass_g","no_sex_body_mass_g","egg_width_mm","egg_length_mm","fledging_mass_g","adult_svl_cm","male_svl_cm","female_svl_cm","birth_or_hatching_svl_cm","female_svl_at_maturity_cm","female_body_mass_at_maturity_g","no_sex_svl_cm","no_sex_maturity_d","syn_name1","syn_name_sub1","syn_name2","syn_name_sub2","syn_name3","syn_name_sub3","syn_name4","syn_name_sub4","syn_name5","syn_name_sub5","syn_name6","syn_name_sub6"
"2802",13895,"Moschus chrysogaster",1,1,138.0434606,"Mammalia","Artiodactyla","Moschidae","Moschus","chrysogaster",-999,"Alpine Musk Deer",613.548,1.1,1,12348.95,-999,188,47.14,729.77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,94.9995,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2803",136750,"Moschus cupreus",1,1,12.66841912,"Mammalia","Artiodactyla","Moschidae","Moschus","cupreus",-999,"Kashmir Musk Deer",537.3,1.345,1,12907.785,13.89166667,175.92,47.14,578.965,-999,-999,-999,-999,12.94583333,-999,-999,-999,-999,-999,-999,-999,-999,89.999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2804",13896,"Moschus fuscus",1,1,19.62771236,"Mammalia","Artiodactyla","Moschidae","Moschus","fuscus",-999,"Black Musk Deer",-999,-999,1,13697.9,-999,-999,47.14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,94.9995,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2805",13901,"Moschus leucogaster",1,1,21.12509806,"Mammalia","Artiodactyla","Moschidae","Moschus","leucogaster",-999,"Himalayan Musk Deer",537.3,1.345,1,12907.785,13.89166667,175.92,47.14,578.965,-999,-999,-999,-999,12.94583333,-999,-999,-999,-999,-999,-999,-999,-999,89.999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2806",13897,"Moschus moschiferus",1,1,3.906671311,"Mammalia","Artiodactyla","Moschidae","Moschus","moschiferus",-999,"Siberian Musk Deer",479.81772,1.615,1,12907.785,13.89166667,169.07194,76.833,478.57,-999,-999,-999,-999,12.94583333,-999,-999,-999,-999,-999,-999,-999,-999,94.9995,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2807",13904,"Mosia nigrescens",1,1,0.00391733,"Mammalia","Chiroptera","Emballonuridae","Mosia","nigrescens",-999,"Dark Sheath-tailed Bat",-999,0.98,-999,3.33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2808",13922,"Mungos gambianus",1,1,120.4119823,"Mammalia","Carnivora","Herpestidae","Mungos","gambianus",-999,"Gambian Mongoose",-999,-999,-999,1644.98,5.408333333,-999,-999,-999,-999,-999,-999,-999,5.408333333,-999,-999,-999,-999,-999,-999,-999,-999,39.984,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2809",41621,"Mungos mungo",1,1,875.4967716,"Mammalia","Carnivora","Herpestidae","Mungos","mungo",-999,"Banded Mongoose",343.62244,2.68,2,1331.5,17.4,60.91,20.88,24.2,-999,-999,-999,-999,12,-999,0.999315537,-999,-999,-999,-999,-999,-999,40.621,-999,-999,9.949,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2810",13923,"Mungotictis decemlineata",1,1,0.642634903,"Mammalia","Carnivora","Eupleridae","Mungotictis","decemlineata",-999,"Narrow-striped Mongoose",748.74202,0.995,-999,678.515,11.39166667,100.17786,42.18122,49.565,-999,-999,-999,-999,11.39166667,-999,-999,-999,-999,-999,-999,-999,-999,33.059,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2811",42189,"Muntiacus atherodes",1,1,59.5796239,"Mammalia","Artiodactyla","Cervidae","Muntiacus","atherodes",-999,"Bornean Yellow Muntjac",-999,-999,-999,18939.1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,115.7495,-999,-999,-999,-999,-999,-999,-999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
