id_no,binomial,presence,origin,shape_Area
2279,Ateles geoffroyi,1,1,1.571099535
39961,Ateles hybridus,1,1,0.41467943
2282,Ateles marginatus,1,1,42.94594642
2283,Ateles paniscus,1,1,74.66370491
6924,Atelocynus microtis,1,1,233.1967653
2353,Atherurus africanus,1,1,288.6227089
2354,Atherurus macrourus,1,1,0.002745255
41590,Atilax paludinosus,1,1,1166.554367
2358,Atlantoxerus getulus,1,1,28.63346158
2395,Auliscomys boliviensis,1,1,17.89419256
2397,Auliscomys pictus,1,1,0.229501355
2398,Auliscomys sublimis,1,1,33.74972346
136767,Avahi betsileo,1,1,0.084031308
136335,Avahi cleesei,1,1,0.221018945
2434,Avahi laniger,1,1,4.303333579
136369,Avahi meridionalis,1,1,0.139437525
16971566,Avahi mooreorum,1,1,0.167531773
2435,Avahi occidentalis,1,1,0.03541716
136285,Avahi peyrierasi,1,1,0.382227005
136434,Avahi ramanantsoavanai,1,1,0.515712141
41579,Avahi unicolor,1,1,0.065333923
41783,Axis axis,1,1,199.8459653
2446,Axis calamianensis,1,1,0.078359021
2447,Axis kuhlii,1,1,0.004641718
41784,Axis porcinus,1,2,0.05440323
2461,Babyrousa babyrussa,1,1,0.696171311
136446,Babyrousa celebensis,1,1,9.810428171
136472,Babyrousa togeanensis,1,1,0.01462723
2465,Baiomys musculus,1,1,38.25095117
2466,Baiomys taylori,1,1,116.5871099
10311,Baiyankamys habbema,1,1,0.063361401
10314,Baiyankamys shawmayeri,1,1,5.348954412
2531,Balantiopteryx infusca,1,1,0.088838465
2532,Balantiopteryx io,1,1,14.46618291
2533,Balantiopteryx plicata,1,1,0.686639005
2538,Balionycteris maculata,1,1,35.36990497
2540,Bandicota bengalensis,1,1,345.9024394
2541,Bandicota indica,1,1,8.53690181
2542,Bandicota savilei,1,1,70.51027245
2553,Barbastella barbastellus,1,1,0.400588549
2554,Barbastella leucomelas,1,1,0.21121687
41678,Bassaricyon alleni,1,1,75.48778691
2610,Bassaricyon beddardi,1,1,39.47192362
2609,Bassaricyon gabbii,1,1,58.17023734
2611,Bassaricyon lasius,1,1,0.314899235
2612,Bassaricyon pauli,1,1,0.114569295
41680,Bassariscus astutus,1,1,0.007340425
2613,Bassariscus sumichrasti,1,1,12.63786792
2619,Bathyergus janetta,1,1,0.676325845
2620,Bathyergus suillus,1,1,3.80830452
2642,Batomys dentatus,1,1,0.03846063
2641,Batomys granti,1,1,0.5553029
136394,Batomys russatus,1,1,0.068174215
2643,Batomys salomonseni,1,1,0.626657065
1789,Bauerus dubiaquercus,1,1,0.15770261
41591,Bdeogale crassicauda,1,1,0.059442253
2675,Bdeogale jacksoni,1,1,3.297003215
41592,Bdeogale nigripes,1,1,171.8356839
136686,Bdeogale omnivora,1,1,2.802287637
2676,Beamys hindei,1,1,15.77777349
6234,Beatragus hunteri,1,1,0.859629565
2756,Belomys pearsonii,1,1,4.887925804
2767,Berylmys berdmorei,1,1,8.35726179
2768,Berylmys bowersi,1,1,211.4944445
2769,Berylmys mackenziei,1,1,0.491695344
2770,Berylmys manipulus,1,1,19.20261702
2783,Bettongia gaimardi,1,1,3.109972551
2784,Bettongia lesueur,1,2,0.008136841
2785,Bettongia penicillata,1,1,0.163555865
2787,Bettongia tropica,1,1,0.012425828
2801,Bibimys chacoensis,1,1,2.073353095
2802,Bibimys labiosus,1,1,31.98566688
2803,Bibimys torresi,1,1,0.00022517
2815,Bison bison,1,1,1.50837849
2814,Bison bonasus,1,2,0.021878825
2816,Biswamoyopterus biswasi,1,1,0.025408238
2823,Blanfordimys afghanus,1,1,0.01835586
2824,Blanfordimys bucharensis,1,1,12.01833218
41451,Blarina brevicauda,1,1,467.0871659
